,REGISTO,listing_url,price,LATITUDE,LONGITUDE
3319,6995,https://www.airbnb.com/rooms/91439,$44.00,41.1490489,-8.609045499999999
4456,85541,https://www.airbnb.com/rooms/94701,$41.00,41.146767700000005,-8.6018679
2775,6184,https://www.airbnb.com/rooms/131994,$60.00,41.15061600000001,-8.614030999999999
1988,5380,https://www.airbnb.com/rooms/113586,$50.00,41.1452598,-8.613731399999999
1488,4833,https://www.airbnb.com/rooms/139425,$52.00,41.14626679999999,-8.594391800000002
17,11205,https://www.airbnb.com/rooms/104045,$150.00,41.159335799999994,-8.5998421
3305,6981,https://www.airbnb.com/rooms/186655,$55.00,41.1512743,-8.6518132
1843,52314,https://www.airbnb.com/rooms/186946,$78.00,41.1417864,-8.6167111
772,34971,https://www.airbnb.com/rooms/127208,$25.00,41.154603200000004,-8.589862
1751,509067786,https://www.airbnb.com/rooms/76436,$146.00,,
2056,5458,https://www.airbnb.com/rooms/169321,$80.00,41.1453551,-8.5979147
3485,7235,https://www.airbnb.com/rooms/241742,$80.00,41.1474665,-8.6010849
2013,5400,https://www.airbnb.com/rooms/248537,$65.00,41.1482154,-8.6198097
3366,7042,https://www.airbnb.com/rooms/241743,$55.00,41.1474665,-8.6010849
2086,5488,https://www.airbnb.com/rooms/264087,$40.00,41.1496999,-8.615869199999999
2786,6201,https://www.airbnb.com/rooms/327891,$100.00,41.141138500000004,-8.6141185
1086,41004,https://www.airbnb.com/rooms/341213,$100.00,41.141138500000004,-8.6141185
3569,7342,https://www.airbnb.com/rooms/387383,$62.00,41.139958899999996,-8.6094485
283,22602,https://www.airbnb.com/rooms/318163,$52.00,41.1622196,-8.6113127
1253,44422,https://www.airbnb.com/rooms/447188,$65.00,41.146196200000006,-8.609637800000002
2871,634,https://www.airbnb.com/rooms/87873,$44.00,41.156899700000004,-8.6047207
2556,5929,https://www.airbnb.com/rooms/317546,$65.00,41.142657299999996,-8.6173367
3714,75534,https://www.airbnb.com/rooms/457924,$37.00,41.155255,-8.608858999999999
2671,60563,https://www.airbnb.com/rooms/270094,$60.00,41.16051029999999,-8.636144400000001
3571,7349,https://www.airbnb.com/rooms/270965,$40.00,41.159750200000005,-8.6100312
3184,6766,https://www.airbnb.com/rooms/273345,$65.00,41.14593729999999,-8.602497099999999
3616,7437,https://www.airbnb.com/rooms/518534,$100.00,41.140218,-8.614984199999999
2108,55201,https://www.airbnb.com/rooms/450872,$44.00,,
2433,5773,https://www.airbnb.com/rooms/191005,$60.00,41.153285499999996,-8.60723
3289,6946,https://www.airbnb.com/rooms/393987,$67.00,41.1428196,-8.604915499999999
2092,55003,https://www.airbnb.com/rooms/565255,$32.00,41.1549828,-8.6052895
217,20531,https://www.airbnb.com/rooms/579745,$72.00,41.1592978,-8.6835156
1438,47019,https://www.airbnb.com/rooms/608281,$117.00,41.1537075,-8.6073962
535,30100,https://www.airbnb.com/rooms/581356,$55.00,41.1435796,-8.618002699999998
1896,52876,https://www.airbnb.com/rooms/581402,$50.00,41.207155799999995,-8.5982196
