,listing_id,host_id,min(date),latitude,longitude,bigOwner
0,91439,185209,2011-04-23,41.14833,-8.60983,False
1,86388,185209,2011-04-26,41.14847,-8.60812,True
2,94701,505473,2011-05-10,41.14707,-8.60109,False
3,131994,648963,2011-06-29,41.14993,-8.6151,False
4,100661,185209,2011-07-04,41.148509999999995,-8.60988,True
5,113586,577638,2011-07-05,41.14602,-8.614469999999999,False
6,139425,680010,2011-07-06,41.14581,-8.59499,False
7,133099,648963,2011-07-12,41.15005,-8.61288,True
8,104045,541968,2011-07-25,41.158770000000004,-8.598930000000001,False
9,186655,897112,2011-08-30,41.15206,-8.652280000000001,False
10,186946,898831,2011-09-21,41.13969,-8.61625,False
11,211588,1018203,2011-10-04,41.162409999999994,-8.627189999999999,False
12,127208,630252,2011-10-29,41.1541,-8.59097,False
13,206868,1018203,2011-11-02,41.163540000000005,-8.62677,True
14,241573,1266562,2011-11-02,41.14776,-8.601939999999999,False
15,76436,399503,2011-11-14,41.13925,-8.61477,False
16,169321,806826,2011-11-20,41.1464,-8.5975,False
17,241574,1266562,2011-11-20,41.14645,-8.60293,True
18,155723,748789,2011-12-03,41.15889,-8.61002,False
19,241742,1266562,2012-01-02,41.148309999999995,-8.6004,True
20,241743,1266562,2012-01-04,41.14654,-8.599910000000001,True
21,248537,1302034,2012-01-04,41.14765,-8.61876,False
22,264087,1385493,2012-01-30,41.15075,-8.6217,False
23,265819,506925,2012-03-05,41.1605,-8.6327,False
24,327891,1675750,2012-03-13,41.14195,-8.613339999999999,False
25,341213,1675750,2012-04-04,41.14008,-8.614889999999999,True
26,366590,1630185,2012-04-06,41.14386,-8.61667,False
27,387383,1418251,2012-04-08,41.159890000000004,-8.60905,False
28,318163,1633010,2012-04-09,41.16055,-8.612219999999999,False
29,234655,399503,2012-04-30,41.1522,-8.611239999999999,True
30,447188,2220420,2012-05-11,41.144420000000004,-8.60801,False
31,87873,480980,2012-05-14,41.15786,-8.60427,False
32,317546,1630185,2012-05-18,41.143209999999996,-8.616760000000001,True
33,457924,480980,2012-05-22,41.1561,-8.60962,True
34,400097,1997241,2012-05-24,41.153890000000004,-8.60342,False
35,502059,2477477,2012-06-11,41.16693,-8.63799,False
36,270094,1377045,2012-06-12,41.15906,-8.636660000000001,False
37,270965,1418251,2012-06-12,41.15676,-8.60897,True
38,424705,1630185,2012-06-12,41.14267,-8.617180000000001,True
39,273345,1266562,2012-06-13,41.14663,-8.60385,True
40,518534,1675750,2012-06-20,41.14085,-8.61549,True
41,450872,2238886,2012-06-28,41.14225,-8.61316,False
42,496647,1630185,2012-07-06,41.1441,-8.61759,True
43,191005,923371,2012-07-12,41.15276,-8.60847,False
44,393987,1969579,2012-07-16,41.14285,-8.6054,False
45,546381,2686177,2012-07-19,41.14284,-8.61469,False
